iter	RMSE
0	111.4811826
1	106.4362305
2	101.5672347
3	96.90985952
4	92.58712826
5	88.38671584
6	84.40927256
7	80.73411876
8	77.23593285
9	73.87722644
10	70.71689333
11	67.64209448
12	64.75516096
13	62.09925734
14	59.54075678
15	57.04616066
16	54.64480073
17	52.53158102
18	50.51003887
19	48.46958255
20	46.56586919
21	44.85374931
22	43.11637509
23	41.56004169
24	40.07604738
25	38.68784122
26	37.37883819
27	36.05259763
28	34.76714384
29	33.66803521
30	32.57498921
31	31.55249631
32	30.64850971
33	29.81981754
34	28.91950231
35	28.14518725
36	27.32580854
37	26.57976509
38	25.96293096
39	25.34809467
40	24.74707807
41	24.17691094
42	23.62239053
43	23.17247616
44	22.73414128
45	22.32838555
46	21.93771207
47	21.56958711
48	21.20789151
49	20.89930245
50	20.62871911
51	20.37748456
52	20.13149518
53	19.88438832
54	19.63768273
55	19.44571567
56	19.20559149
57	18.99949141
58	18.7691037
59	18.56520447
60	18.36912203
61	18.24106207
62	18.08403994
63	17.90498023
64	17.74292698
65	17.5920402
66	17.45811585
67	17.30939909
68	17.19068
69	17.102324
70	17.02273772
71	16.95613897
72	16.83733124
73	16.77568072
74	16.68984746
75	16.57445545
76	16.48046151
77	16.425395
78	16.37480624
79	16.3336176
80	16.27398494
81	16.23323119
82	16.14836313
83	16.05887943
84	16.01755013
85	15.96268619
86	15.88483691
87	15.85353728
88	15.78036437
89	15.72861741
90	15.68299067
91	15.6610958
92	15.62388277
93	15.59101214
94	15.52631141
95	15.49467222
96	15.44826734
97	15.38663062
98	15.34930261
99	15.29881582
100	15.22983365
101	15.19773744
102	15.15703292
103	15.12464454
104	15.10033646
105	15.07704454
106	15.05870292
107	15.03633369
108	14.98328246
109	14.96512849
110	14.94962062
111	14.9133834
112	14.89685501
113	14.88055278
114	14.84009419
115	14.81709965
116	14.79638689
117	14.73329866
118	14.72051827
119	14.67754397
120	14.66510495
121	14.6421189
122	14.62466406
123	14.58675143
124	14.56942511
125	14.55099137
126	14.53347288
127	14.50519338
128	14.4557772
129	14.41915739
130	14.39996191
131	14.39239784
132	14.38328434
133	14.36242224
134	14.34688422
135	14.34015966
136	14.31169943
137	14.27609699
138	14.26392218
139	14.24395648
140	14.22589435
141	14.21372933
142	14.18786253
143	14.18147039
